Description,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision or Location,Price,Category
"Natalie 3BR Single Detached House for Sale in West Beverly Hills, Dasmariñas, Cavite",3,3,1,123.8,140,West Beverly Hills,5493461,House
"Townhouse with 2 Bedrooms for Sale at Hana South in Trece Martires, Cavite | Lyca Model",2,2,0,38,36,Hana South,1918427,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B1 L23 (ROSE-INNER)",1,1,0,46.6,67,Marytown Place,1700404,House
"2-Storey 4BR House and Lot (Amanda Model) for Sale in Governor's Hills, General Trias, Cavite",3,4,1,167,154,Governor's Hills,7841100,House
"5BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Greta, NRFO",3,5,0,166,143,Camella Provence,10151000,House
"2BR 2-Storey Townhouse for Sale at Primeworld Enclave in Brgy. Caingin, San Rafael, Bulacan",1,2,0,46,41,Primeworld Enclave,1800000,House
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Arielle IU, NRFO",1,2,0,36,44,Camella Taal,2134000,House
"2-Storey House for Sale in Ameria, Panabo, Davao del Norte - Acacia Model",5,4,0,254,337,Ameria,16000000,House
"4BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, Batangas - with Special Offer",3,4,2,119,150,The Villages at Lipa,6500000,House
"5BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Ella wCB, NRFO",3,5,1,100,121,Camella Provence,7707000,House
"3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ALICE Model",1,3,1,40,40,Lancaster New City,1880600,House
"Gardenia 4BR Single Detached House for Sale at Primavera Homes Phase 2 in Tanauan, Batangas",2,4,2,80,120,Primavera Homes Phase 2,3775000,House
"L-R-1-912- Acquired Property for Sale in Lots 24 & 25, Block 4, Catleya St., corner Stargazer St., Betzaida Village, Brgy. Dumantay, Batangas City, Batangas",1,1,0,79.2,152,,2725680,House
"2-Storey 3-Bedroom Twinhome (Duplex) for Sale in Estanzia Enclave, Tanza, Cavite",2,3,2,55,80,Estanzia Enclave,3700000,House
"1BR Quadruplex House and Lot (Legato Model) for Sale in Gran Avila, Calamba, Laguna",1,1,0,25,58,Gran Avila,1366658,House
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -CHESSA Model",3,3,2,90,100,Lancaster New City,5978000,House
"L-R-1-763- Acquired Property for Sale in Lot 49, Block 8, Jardin Street, Camella Provence Subdivision, Phase 2B, Brgy. Looc-1, Malolos City, Bulacan - Retail",1,1,0,80,323,,5765000,House
"3-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Cara, NRFO",2,3,0,66,88,Camella Taal,5210000,House
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ezabelle, NRFO",1,2,0,46,66,Camella Taal,3012000,House
"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Criselle, NRFO",1,2,0,40,63,Camella Monticello,2973000,House
"3-Bedroom House and Lot for Sale at PHINMA Maayo San Jose in San Jose, Batangas | Salva Model",3,3,1,74.26,80,PHINMA Maayo San Jose,5700000,House
"3BR House and Lot (Fiorenza Standard) for Sale in Suntrust Verona, Silang, Cavite",2,3,0,112.6,120,Verona,5941000,House
"4-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -BRIANA Model",3,4,2,110,100,Lancaster New City,6756360,House
"Aeon Duplex Bungalow SD for Sale in Sentosa, Calamba Laguna",2,2,1,71,120,Sentosa,3124880,House
"3BR Townhome Inner Unit for Sale - Penthouse at Jubilation Enclave North, New Biñan, Laguna",2,3,2,90,60,Penthouse at Jubilation Enclave North,4800000,House
"2-Storey Townhouse (AMITA - End) for Sale in Amoa, Compostela, Cebu - with Special Offer",2,2,1,53,70,Amoa Enclave,4200000,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B8 L41 (LILY-INNER)",1,1,0,34,52,Marytown Place,1013431,House
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Ella",3,5,1,100,121,Camella Balanga Heights,6592000,House
"3BR Townhome End Unit for Sale - Penthouse at Jubilation Enclave North, New Biñan, Laguna",2,3,2,90,80,Penthouse at Jubilation Enclave North,5300000,House
"3-Bedroom Duplex House and Lot for Sale in Villaggio Enclave, General Trias, Cavite",2,3,1,55,80,Villaggio Enclave,3000000,House
"3BR House and Lot (Mariella Standard) for Sale in Suntrust Verona, Silang, Cavite",1,3,0,63.51,88,Verona,4460000,House
"3BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Cara, NRFO",2,3,1,66,131,Camella Quezon,5898000,House
"Townhouse Mid Unit for Sale in Ajoya Capas, Tarlac - with Special Offer",2,1,1,49,50,Ajoya Capas,2100000,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B7 L14 (LILY-CORNER)",1,1,0,34,64,Marytown Place,1221933,House
"2-Storey Townhouse (AMITA - Mid) for Sale in Amoa, Compostela, Cebu - with Special Offer",2,2,1,53,50,Amoa Enclave,4200000,House
"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Arielle IU, NRFO",1,2,0,36,40,Camella Gran Europa,2496205,House
"2BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Criselle Solo, NRFO",1,2,0,40,54,Camella Quezon,2636000,House
"Duplex House and Lot Back to Back for Sale in Ajoya Capas, Tarlac - with Special Offer",2,1,1,75,90,Ajoya Capas,3000000,House
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -MARGARET Model",2,3,1,72,100,Lancaster New City,5690000,House
"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Lyca Model",2,2,0,38,36,Hana South,1918427,House
"2-Storey House (Acacia Model) for Sale in Ameria, Panabo, Davao del Norte ",5,4,0,254,337,Ameria,14000000,House
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -THEA Model",2,3,1,60,50,Lancaster New City,2395000,House
"3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -THEA Model",2,3,1,60,50,Lancaster New City,2395000,House
"Kiara Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna",1,3,1,79.13,60,Sentosa,2406200,House
"Shanata Two Storey SD for Sale in Sentosa, Calamba Laguna",4,4,2,171.5,176,Sentosa,8557360,House
"Amaya Two Storey SD for Sale in Sentosa, Calamba Laguna",3,4,1,149.19,176,Sentosa,7032800,House
"2-Storey 4BR House and Lot (Luciana Model) for Sale in Siena Hills, Lipa City, Batangas",4,4,2,174.66,176,Siena Hills,8381730,House
"Azalea 3BR Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas | B1 L24",2,3,1,65,60,Primavera Homes Phase 2,2945000,House
"Metro Tagaytay - Lotus Twins 2BR Duplex Bungalow House and Lot for Sale in Montebello, Alfonso, Cavite",1,2,1,72,,Montebello,5400000,House
"2-Storey 4BR House and Lot (Caterina Model) for Sale in Siena Hills, Lipa City, Batangas",3,4,1,136.25,176,Siena Hills,7413780,House
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Freya",3,5,1,142,121,Camella Balanga Heights,7751000,House
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Greta",3,5,2,166,142,Camella Balanga Heights,8982000,House
"2-Storey 4BR House and Lot (Elyza Model) for Sale in Governor's Hills, General Trias, Cavite",4,4,2,206,231,Governor's Hills,8795130,House
3-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Special Offer,2,3,1,72,88,Ajoya Pampanga,3800000,House
2-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Special Offer,2,2,1,59,88,Ajoya Pampanga,3100000,House
"4-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Dani, NRFO",3,4,1,83,99,Camella Monticello,5969000,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B8 L3-B (LILY-INNER)",1,1,0,34,28,Marytown Place,795073,House
"3BR Bungalow House and Lot (Angelica Model) for Sale in Siena Hills, Lipa City, Batangas",2,3,1,67,150,Siena Hills,5036925,House
1-Storey Single Attached House and Lot (ANANDA) for Sale in Amoa Compostela Cebu - with Special Offer,1,2,1,46,120,Amoa Enclave,4300000,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Elevated Garden Unit",3,3,0,323.8,90,Likha Residences,42717000,House
